<OPEN_43371>,<HIGH_43371>,<LOW_43371>,<CLOSE_43371>,<OPEN_43403>,<HIGH_43403>,<LOW_43403>,<CLOSE_43403>,<OPEN_43432>,<HIGH_43432>,<LOW_43432>,<CLOSE_43432>,<OPEN_43437>,<HIGH_43437>,<LOW_43437>,<CLOSE_43437>
116580,116600,116550,116580,110770,110790,110720,110720,109710,109750,109670,109750,115240,115250,115180,115210
116570,116660,116560,116640,110720,110750,110710,110730,109760,109770,109700,109710,115220,115250,115150,115240
116640,116660,116570,116640,110730,110760,110700,110700,109700,109720,109640,109680,115240,115280,115230,115260
116640,116680,116630,116670,110700,110750,110700,110740,109680,109720,109670,109690,115270,115290,115250,115250
116670,116720,116650,116670,110730,110790,110720,110770,109700,109770,109690,109750,115250,115260,115210,115250
116660,116730,116650,116700,110770,110810,110750,110790,109750,109760,109670,109670,115240,115250,115230,115240
116680,116740,116670,116730,110800,110860,110780,110850,109680,109730,109670,109680,115240,115260,115220,115260
116720,116750,116700,116750,110850,110870,110760,110780,109680,109760,109670,109750,115260,115270,115210,115230
116750,116820,116720,116770,110780,110780,110740,110750,109740,109740,109700,109710,115230,115230,115190,115200
116770,116840,116760,116820,110750,110780,110730,110760,109720,109740,109690,109690,115200,115240,115200,115230
116830,116840,116760,116770,110750,110770,110740,110770,109700,109740,109700,109730,115220,115240,115200,115230
116770,116810,116760,116810,110770,110780,110730,110760,109730,109750,109720,109730,115230,115270,115210,115210
116800,116810,116750,116790,110770,110770,110750,110770,109740,109760,109710,109750,115220,115250,115190,115190
116780,116800,116760,116760,110770,110820,110760,110810,109750,109840,109750,109770,115200,115210,115170,115190
116750,116760,116700,116730,110810,110810,110770,110810,109770,109890,109760,109840,115200,115220,115180,115190
116730,116770,116710,116760,110810,110830,110780,110790,109830,109840,109760,109770,115190,115200,115180,115180
116770,116810,116760,116790,110780,110790,110760,110760,109770,109780,109730,109780,115180,115220,115180,115190
116780,116830,116780,116830,110770,110830,110770,110790,109770,109770,109660,109710,115190,115230,115190,115230
116820,116830,116780,116830,110790,110790,110720,110730,109700,109740,109700,109710,115230,115250,115210,115230
116830,116860,116800,116830,110720,110770,110710,110770,109720,109740,109700,109730,115210,115250,115190,115220
116850,116860,116830,116860,110760,110770,110710,110740,109730,109810,109730,109800,115210,115220,115200,115200
116860,116900,116840,116840,110730,110770,110720,110760,109810,109850,109800,109820,115200,115230,115190,115230
116850,116850,116660,116670,110750,110760,110620,110650,109830,109980,109800,109940,115210,115300,115200,115290
116670,116680,116610,116620,110640,110660,110620,110640,109920,109940,109840,109840,115280,115290,115240,115250
116620,116620,116510,116590,110630,110650,110530,110540,109850,109890,109780,109880,115250,115260,115200,115210
116600,116670,116580,116670,110550,110590,110520,110590,109900,110070,109890,110020,115220,115240,115200,115200
116670,116800,116640,116780,110580,110630,110570,110590,110010,110040,109950,110040,115210,115220,115190,115200
116770,116860,116710,116860,110580,110640,110570,110620,110030,110040,109890,109940,115210,115220,115180,115200
116860,116870,116800,116820,110620,110650,110610,110630,109950,109960,109910,109930,115200,115220,115190,115220
116810,116830,116780,116810,110640,110670,110620,110660,109930,109950,109870,109950,115210,115250,115200,115250
116800,116820,116790,116820,110670,110690,110660,110690,109930,109950,109900,109940,115260,115270,115220,115240
116830,116850,116810,116810,110700,110750,110680,110720,109940,109970,109920,109970,115240,115300,115230,115240
116810,116840,116800,116810,110730,110780,110710,110720,109960,109980,109900,109930,115250,115260,115220,115260
116810,116820,116750,116800,110730,110760,110720,110720,109920,109930,109900,109920,115250,115260,115230,115250
116810,116890,116810,116860,110720,110720,110690,110690,109910,109920,109880,109890,115250,115260,115230,115230
116850,116880,116790,116810,110690,110710,110640,110670,109890,109920,109880,109920,115240,115240,115200,115200
116810,116820,116760,116780,110670,110710,110660,110670,109930,109930,109860,109880,115210,115240,115190,115190
116780,116780,116720,116730,110670,110750,110670,110740,109890,109920,109870,109900,115190,115200,115140,115190
116740,116840,116740,116800,110750,110780,110720,110780,109890,109890,109870,109890,115190,115230,115180,115200
116790,116800,116750,116790,110770,110820,110750,110770,109890,109900,109860,109900,115200,115230,115190,115210
116770,116820,116750,116820,110780,110780,110690,110690,109900,109960,109870,109950,115200,115220,115190,115210
116810,116810,116780,116800,110690,110760,110680,110740,109960,110130,109950,110010,115220,115220,115160,115180
116790,116860,116780,116860,110750,110750,110650,110650,110010,110040,109950,109980,115180,115220,115180,115180
116860,116880,116840,116840,110660,110670,110620,110630,109970,110010,109950,109970,115190,115190,115150,115170
